id;numero;date_delivrance;date_limite_paiement;consommation;etat;type_facture
1;54917;2021-02-01T08:06:35;2021-02-01T07:19:32;Incredible Steel Shirt SQL;Avon;SDE
2;36551;2021-01-31T20:31:32;2021-02-01T14:11:08;instruction set wireless;transparent deposit input;SDE
3;3218;2021-01-31T17:27:27;2021-01-31T17:10:52;bypass Poland;collaboration;SONATEL
4;13087;2021-02-01T00:26:29;2021-02-01T09:55:33;Home Loan Account;Garden Drive Investment Account;SENELEC
5;53128;2021-02-01T04:38:53;2021-02-01T06:05:04;Sleek Generic Soft Keyboard;Colorado Officer Shoes;SENELEC
6;44893;2021-02-01T00:18:17;2021-02-01T04:21:12;Avon Group Web;New Hampshire Licensed Granite Fish;SONATEL
7;66768;2021-01-31T23:53:32;2021-01-31T17:19:02;withdrawal generate B2C;FTP;SENELEC
8;89599;2021-02-01T09:55:30;2021-02-01T11:03:41;red;South Africa;SONATEL
9;76188;2021-01-31T20:27:09;2021-02-01T00:31:41;Internal Handmade Fresh Chair;Internal sexy feed;SENELEC
10;5896;2021-01-31T19:11:57;2021-02-01T16:24:13;redefine Virtual;Clothing Concrete;SDE
